Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
attribComp..button0;Wizard-Struktur bearbeiten
attribComp..button1;Attribute bearbeiten
attribComp..label0;Verglichene Ressourcen
attribComp..label1;Quellcode
attribComp..label2;Ziel
attribComp..label3;Control Tags
attribComp..label4;Status
attribComp..titlebar0;Attribute vergleichen
attribComp.button0;Speichern
attribComp.icon0;Attribut einfügen oder neue Auswahl erstellen
attribComp.icon1;Ausgewählte Knoten entfernen
attribComp.label0;Wizard-Struktur
attribComp.label1;Multilanguage-Einstellungen
attribComp.label2;Projekt
attribComp.label3;Multilanguage-Datei
attribComp.label4;Unzugewiesenes Attribut
attribComp.label5;Wizard-Konfiguration
attribComp.label6;In Datei speichern
attribCompEdIn.button0;OK
attribCompEdIn.label1;Name
attribCompSav.button0;OK
attribCompSav.button1;OK
attribCompSav.dropicon0;Mülleimer
attribCompSav.dropicon1;Mülleimer
attribCompSav.label0;Dateiname
ce.alreadyex;Datei existiert bereits.
ce.attributes;Attribute
ce.docu;Dokumentation
ce.domain;Domain
ce.exit;Schließen
ce.file;Datei
ce.help;Hilfe
ce.inputname;Bitte geben Sie einen Namen ein
ce.new;Neu
ce.nounsaved;Einige Änderungen sind ungespeichert...
ce.open;Öffnen
ce.pos;Positionierung
ce.protocol;Protokoll-Erweiterung
ce.save;Speichern
ce.selctrlordata;Bitte wählen Sie ein Control oder Datentyp und versuchen Sie es erneut
ce.sellinefirst;Bitte wählen Sie eine Zeile und versuchen Sie es erneut
ce.wrotef;Datei &1 gespeichert
ce.xml;XML
ce.xmldefaults;XML Standards
codeAssAdapterCode;Adapter-Code
codeAssBinding;Binding
codeAssGenCode;Generierter Code
codeAssGenerateCode;Code generieren
codeAssMethods;Methoden
codeAssProperties;Eigenschaften
codeAssTakeOver;Übernehmen
configCodeAssSettings;Einstellungen des Code-Assistenten
configCodeDir;Source-Ordner
configConfigFile;Konfigurationsdatei
configDir;Ordner
configName;Name
configOneLine;Eigenschaft Methode in einer Zeile
configPathInfo;Pfad-Info
configPrefix;Präfix verwenden
configSave;Speichern und Übernehmen
configSpacesPerTab;Leerzeichen pro Tab
configXMLDir;XML-Verzeichnis
configXMLDirectorySettings;XML
disablePropNameValidation;Validierung deaktivieren
dtdPopupTitle;Data Type Definition (DTD)
ec.attributes;Attributsverwaltung
ec.classMembers;Class Members
ec.dynvalidvalues;Dynamische Liste gültiger Werte
ec.general;Allgemein
ec.java;Java
ec.javaClassName;Java-Klassenname
ec.validation;Validierung von Eigenschafts- und Methodennamen
ed6.cmi.dtd;DTD
ed6.msg.errorsoccured;Während der Generierung traten Fehler auf. Details unter Home->Protokoll.
ed6.msg.nonode;Kein Knoten gewählt! 
ed6.msg.noprotocol;Protokoll nicht verfügbar - Bitte zunächst Vorschau öffnen
ed6.ucannotremove;Sie können &1 nicht löschen (Wurzelknoten). Benutzen Sie den Layout-Manager um das gesamte XML-Layout zu löschen.
editorHTTPTrace.button0;Speichern und übernehmen
editorHTTPTrace.label0;Layouts in Ordnern gruppieren. Ordner-Trennzeichen ist 
editorHTTPTrace.label1;(z.B. &quot\;.&quot\; oder &quot\;_&quot\;)
editorHTTPTrace.label2;Layouts in alphabetischer Reihenfolge gruppieren - 25 Layouts pro Ordner
editorHTTPTrace.label3;Nicht gruppieren - Layouts in einer Liste anzeigen
editorviewcoding.column2;Codezeile
editorvml.helpicon0;Übersetzungshinweise
editorvml.helpicon1;Übersetzungshinweise
errorAttrModelMissing;Code-Assistent nicht verfügbar. Bitte geben Sie das Attribut MODEL am Wurzelknoten an
errorAttrObjectclassMissing;Code-Assistent nicht verfügbar. Bitte geben Sie das Attribut "objectclass" am Tag "cisfo:foppage2" an
errorAttrPagenameMissing;Literal-Assistent nicht verfügbar. Bitte geben Sie das Attribut TRANSLATIONREFERENCE am Wurzelknoten an
errorBufferEmpty;Die Zwischenablage ist leer
errorCodeGenAreaEmpty;Es gibt keinen Code der übernommen werden könnte
errorCodeGenMissingInsertPos;Sie haben keine Einfügeposition im Quellcode gewählt. Bitte wählen Sie eine Zeile im Quellcode
errorContextMenuRequestChildIsNotInSelection;Kontextmenü nicht verfügbar. Der Knoten "&2" unter dem Knoten "&1" ist nicht ausgewählt
errorCouldNotSave;Speichern fehlgeschlagen (Fehlt das Verzeichnis? Ist die Datei schreibgeschätzt?)
errorDragTargetEqualsDragItem;Kann "&1" nicht hier ablegen. Ziel und Objekt sind identisch
errorInvalidDragItems;Kann Objekte ("&1"" "&2" " ...) nicht bewegen. Alle Objekte müssen den gleichen Elternknoten haben
errorInvalidDragTarget;Kann Objekt ("&2"" ...) nicht bewegen. Das Ziel "&1" ist ein Kind von "&2"
errorLiteralAssNotPreviewed;Literal-Assistent nicht verfügbar - Bitte zunächst Vorschau öffnen
errorMethodRefersToOutsideAdapter;Konnte Code nicht generieren. Die Methode &1 existiert nicht im Adapter
errorMissingLanguage2;Sie habe keine Sprache eingegeben. Bitte geben Sie eine Sprache ein
errorNoFileLoaded;Bitte laden Sie ein Layout und versuchen Sie es erneut
errorNoLineSelected;Bitte wählen Sie zunächst eine Zeile
errorNoNodeSelected;Bitte wählen Sie einen Eintrag und Sie es erneut
errorNoProtocolAvailable;Log nicht verfügbar - Bitte zunächst Vorschau öffnen
errorNodeMove;Objekte können nur innerhalb einer Ebene bewegt werden
errorNodeNotDropable;Abgelegter Knoten &1 passt nicht in den gewählten Knoten
errorSelectSubNodeForPlacing;Das Control kann hier nicht abgelegt werden - Bitte legen Sie es in einem Unterknoten ab
errorSideNodeNotAccept;Kann Objekt (&1 ...) nicht neben dem gewählten Objekt einfügen
