Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
areaDecimalSeparator;Dezimalpunktdarstellung
btn_exit;Beenden
dateAndTime;Datum und Zeit
dateDisplay;Datumsformat
internationalisationTab;Internationalisierung
labelSeparator;Trennzeichen
labelStyleSheet;Stylesheet
language;Sprache
lbl_explanation;In Ihrer Anwendung trat ein Fehler auf, der von der Anwendung nicht behandelt wurde. Bitte kontaktieren Sie den Hersteller der Anwendung.
logon;Anmelden
logonTab;Benutzer
logonTitle;Anmeldung und Internationalisierung
password;Kennwort
ra_errorinfo;Fehlerdetails
ra_explanation;Hintergundinformationen
setAmericanStyle;Amerikanisch
setNonAmericanStyle;Nicht amerikanisch
styleSheet;Stylesheet
timeDisplay;Uhrzeitformat
title;Fehler in Anwendung
user;Benutzer
wrkplacelogon.combooption0;Von Links nach Rechts
wrkplacelogon.combooption1;Von Rechts nach Links
wrkplacelogon.label0;Richtung
wrkplacelogon.label1;1.000.000,00
wrkplacelogon.label2;1,000,000.00
closePage;Seite schließen
