Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
MsgNavigationNotAllowed;Bitte beenden Sie zuerst die Eingabe in der aktuellen Seite.
areaDecimalSeparator;Dezimalpunktdarstellung
dateAndTime;Datum und Zeit
dateDisplay;Datumsformat
internationalisationTab;Internationalisierung
labelSeparator;Dezimalpunkt
labelStyleSheet;Stlyesheet
language;Sprache
logon;Anmelden
logonTab;Benutzer
logonTitle;Anmeldung und Internationalisierung
password;Kennwort
setAmericanStyle;Amerikanisch
setNonAmericanStyle;Nicht amerikanisch
styleSheet;Stylesheet
timeDisplay;Uhrzeitformat
user;Benutzer
