Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
accpathrefresh;Layout-Repository-Puffer aktualisieren
buffermgmt;Puffer-Verwaltung
classLoaderArea;Classloader-Verwaltung
client;Client
collectGarbage;Garbage-Collection
closePage;Siete schließen 
createClassLoaderButton;Verwende neuste Version der Anwendungen für neue Session
lastActivitySince;Zuletzt aktiv vor (ms)
lblClassloader;Class Loader
lblDebugMode;Server-Log-Datei
lblDebugModeFalse;Normal-Modus
lblDebugModeTrue;Debug-Modus
lblbTextBuffer;Text-Puffer
loggedOnFor;Angemeldet seit (ms)
memoryArea;Speicher
mlmgmt;Multilanguage-Verwaltung
mlrefresh;Text-Puffer aktualisieren
monit_button0;Schließen
monit_column0;Processing
monit_column1;Processing
monitoringTitle;Monitoring
noInteractionProcesses;#&nbsp\;Prozesse
processMemory;Prozessspeicher
refresh;Aktualisieren
remove;Entfernen
removeTEMP;Temporäre Sessions entfernen
sessionId;Session
sessionsArea;Aktive Sessions
showServerLog;Heutige Log-Datei öffnen
systemmgmtArea;System-Verwaltung
usedMemory;Benutzer Speicher
