Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
areaAttributes;Attribute
areaNodes;Knoten
areaPreview;Vorschau
areaSubnodes;Unterknoten
buttonAddFirst;Als Erstes hinzufügen
buttonAddLast;Als Letztes hinzufügen
buttonExit;Schließen
buttonNew;Neu...
buttonNewApp;Aktuellste Klassen
buttonOpen;Öffnen...
buttonSave;Speichern
buttonSaveAs;Speichern unter...
buttonViewLog;Log
buttonViewXML;XML
ce.icon.label.newctrl;Neues Control
ce.icon.label.newdatat;Neuen Datentyp
ce.icon.label.selline;Ausgewählte Zeilen entfernen
ce.icon.title.newEdExtension;Neue Editor-Erweiterung
ce.icon.title.openfile;Datei öffnen
ce.icon.title.save;Speichern
ce.label.xmltags;XML Tags
ce.titlebar.title;Control Editor
ed6.RadioBttn.PreviewModeHTML;HTML
ed6.RadioBttn.PreviewModeSWT;SWT
ed6.RadioBttn.withDummyAdapter;Dummy Adapter
ed6.RadioBttn.withRealAdapter;Anwendung
ed6.icon.movedownlast;Bewege Knoten an unterste Position
ed6.icon.movenodedown;Bewege Knoten nach unten
ed6.icon.movenodedownlast;Bewege Knoten an unterste Position
ed6.icon.movenodefirst;Bewege Knoten an oberste Position
ed6.icon.movenodeup;Bewege Knoten nach oben
ed6.icon.openwiz;Öffne Wizard für ausgewähltes Control
ed6.icon.pasteasfirst;Als obersten Unterknoten einfügen
ed6.icon.pasteaslast;Als untersten Unterknoten einfügen
ed6.icon.swtConfig;Vorschau auf Konfiguration
ed6.label.ctrls;Controls
ed6.label.layout;Layout
ed6.label.swtPreviewAdapter;Vorschau mit
ed6.label.swtPreviewMode;Vorschaumodus
ed6.rowarea.SWTConfig;Vorschau auf Konfiguration
editor.icon0;Speichern (Strg-Shift-S)
editor.icon1;Knoten an oberste Position bewegen
editor.icon10;Hinten anhängen
editor.icon11;Als letzten Unterknoten einfügen
editor.icon12;Speichern (Strg-Shift-S)
editor.icon13;Knoten an oberste Position bewegen
editor.icon14;Knoten nach oben bewegen
editor.icon15;Knoten nach unten bewegen
editor.icon16;Knoten an letzte Position bewegen
editor.icon17;Als obersten Unterknoten einfügen
editor.icon18;Als untersten Unterknoten einfügen
editor.icon19;Wizard starten
editor.icon2;Knoten nach oben bewegen
editor.icon20;Vorher einfügen
editor.icon21;Als obersten Unterknoten einfügen
editor.icon22;Hinten anfügen
editor.icon23;Als untersten Unterknoten einfügen
editor.icon24;Rückgängig
editor.icon25;Wiederholen
editor.icon26;Knoten nach oben bewegen
editor.icon27;Knoten nach unten bewegen
editor.icon28;Knoten entfernen
editor.icon29;Ausschneiden
