Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
Adapter.msg1;endProcess() wird innerhalb des Editors nicht unterstützt.
AddressListModel.msg1;Bitte wählen Sie eine Adresse aus der Liste.
AddressListModel.msg2;Bitte wählen Sie zunächst eine Adresse aus der Liste.
AddressModel.msg1;Adresse in der Datei &1 gespeichert.
AttributeCompareEditor.msg1;Kann Attribut nicht unter den Wurzel-Tag bewegen.
AttributeCompareEditor.msg2;Kann Wurzel-Tag nicht unter eine Auswahl bewegen.
AttributeCompareEditor.msg3;Kann eine Auswahl nicht unter eine andere Auswahl bewegen.
AttributeCompareEditor.msg4;Kann den Wurzel-Tag nicht unter eine Auswahl bewegen.
AttributeCompareEditor.msg5;Bitte wählen sie zunächst einen Knoten.
AttributeCompareEditor.msg6;Bitte wählen Sie zunächst einen Knoten.
AttributeCompareEditor.msg7;Bitte wählen Sie nur einen Knoten.
AttributeCompareEditor.msg8;Bitte wählen Sie eine Auswahl oder den Wurzelknoten und versuchen Sie es erneut.
AttributeCompareEditor.msg9;Es fehlen keine Attribute.
AttributeCompareEditorInput.msg1;Bitte geben Sie einen Namen ein.
AttributeCompareEditorInput.msg2;Der Name existiert bereits. Bitte geben Sie einen anderen Namen ein.
BorderNewPageAdapter.msg1;Rahmentyp und Rahmenstil wurden nicht ausgewählt.
ConfigFileManagerAdapter.msg1;&1 erfolgreich gespeichert!
EditorExtensionAdapter.msg1;Konnte Datei nicht speichern: &1.
EditorModel6.msg1;Bitte wählen Sie das richtige Tag(feld)
EditorModel6.msg10;Ausrichtung wird vom &1-Control nicht unterstützt.
EditorModel6.msg11;Textstil wird vom Control nicht unterstützt.
EditorModel6.msg12;Schriftgröße wird vom Control nicht unterstützt.
EditorModel6.msg13;Farbe wird vom Control nicht unterstützt.
EditorModel6.msg14;Schrfitart wird vom Control nicht unterstützt.
EditorModel6.msg15;Rahmenstil wird vom Control nicht unterstützt.
EditorModel6.msg16;Hintergrundbild wird vom Control nicht unterstützt.
EditorModel6.msg2;Bitte wählen Sie das richtige Tag(feld)
EditorModel6.msg3;Diese Funktion steht im Demo-Modus nicht zur Verfügung
EditorModel6.msg4;Diese Funktion steht im Demo-Modus nicht zur Verfügung!
