Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
ascending;Aufsteigend
column; Spalte
descending;Absteigend
errorDuplicateColumn;Eine Spalte wurde doppelt angegeben. Dies ist nicht erlaubt. Bitte geben Sie eine Spalte jeweils nur einmal an.
errorInvalidColumn;Die Werte in den markierten Feldern sind ungültig. Die angegebenen Spalten sind im Bereich "Spalten" nicht selektiert.
errorMessageHeader;Ein Fehler ist aufgetreten!
errorNoColumnSpecified;Der Bericht muss mindestens eine Spalte haben. Bitte geben Sie eine Spalte im Bereich "Spalten" an.
errorNullEntryBeforeColumns;Das markierte Auswahlelement darf nicht leer sein. Bitte geben Sie eine Spalte an.
groupcolumn; Spalte gruppieren
maxRows;Max. Anzahl Zeilen
onLoadExecute;Sofort laden
onOK;OK
pdfGenWithFilterValues;Ausgabe der Filterwerte
reportTitle;Berichtstitel
rowareaGeneralSettings;Allgemeine Einstellungen
rowareaPDFSettings;PDF Einstellungen
rowareaVariantSettings;Variante
sortcolumn; Spalte sortieren
successLinesReadFromDB;&1 Zeilen
title;Berichtsvariante bearbeiten 
titleColumnGroupOrder;Gruppierung
titleColumnOrder;Spalten
titleColumnSortOrder;Sortierung
titleFilters;Filter
titleGeneralSettings;Allgemein
titlePDFProperties;PDF Einstellungen
variantName;Variantenname
warningMoreColumnsExist;Mehr als &1 Zeilen entsprechen Ihrer Selektion!
