Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=de DO NOT EDIT BY HAND!;
mfwrkplace.dropicon0;Papierkorb
mfwrkplace.dropicon1;Papierkorb
onCloseAll;Alle Fenster schliessen
onTakeOut;Die aktuelle Seite in einem Popup starten
stripseltoleft;Nach links Scrollen
stripseltoright;Nach rechts Scrollen 
wrkplace.icon0;Alle fenster schließen
wrkplace.titlebar0;Arbeitsumgebung    
wrkplace.titlebar1;Arbeitsumgebung    
wrkplace.titlebar2;Arbeitsumgebung    
wrkplace.titlebar4;Arbeitsumgebung   
closePage;Seite schließen
mess.err.maxworkplaceactivities;Die maximal zulässige Anzahl geöffneter Editoren wurde erreicht. Schließen Sie mindestens einen Editor, und versuchen Sie es erneut.
mess.err.title;Meldung
mess.noswitchback;Zurückgehen ist nicht erlaubt!!
mess.popupClosed;Popup menu wurde ohne Selektion geschlossen!
mess.selecttree;ist nicht möglich. Selektieren Sie entweder alle oder keinen Unterknoten. 
mess.removeyesno;Wollen Sie die Datei wirklich löschen?
mfwrkplace.rename;Seite umbenennen...
mfwrkplace.remove;Datei löschen...
