Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=en DO NOT EDIT BY HAND!;
areaDecimalSeparator;Decimal Separator
btn_exit;Exit
dateAndTime;Date and Time
dateDisplay;Date Format
internationalisationTab;Internationalisation
labelSeparator;Separator
labelStyleSheet;Style Sheet
language;Language
lbl_explanation;An error was thrown by your application which was not correctly caught inside the application. Please collect the error information below and contact your application vendor.
logon;Login
logonTab;User
logonTitle;User Login and Internationalisation
password;Password
ra_errorinfo;Error Details
ra_explanation;Background
setAmericanStyle;American Style
setNonAmericanStyle;Non American Style
styleSheet;Style Sheet
timeDisplay;Time Format
title;Error in Application
user;User
wrkplacelogon.combooption0;Left to Right
wrkplacelogon.combooption1;Right to Left
wrkplacelogon.label0;Direction
wrkplacelogon.label1;1.000.000,00
wrkplacelogon.label2;1,000,000.00
closePage;Close Page
