Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=en DO NOT EDIT BY HAND!;
MsgNavigationNotAllowed;Please finish data input in the current page first.
areaDecimalSeparator;Decimal Separator
dateAndTime;Date and time
dateDisplay;Date format
internationalisationTab;Internationalisation
labelSeparator;Separator
labelStyleSheet;Style Sheet
language;Language
logon;Logon
logonTab;User
logonTitle;User logon and Internationalisation
password;Password
setAmericanStyle;American Style
setNonAmericanStyle;Non American Style
styleSheet;Style Sheet
timeDisplay;Time format
user;User
