Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=en DO NOT EDIT BY HAND!;
ascending;Ascending
column; Column
descending;Descending
errorDuplicateColumn;The highlighted column is already specified before. Duplicates are not allowed. Please correct.
errorInvalidColumn;The highlighted field refers to a column that is <b>not</b> specified in the <b>Column Order</b> area. Please correct.
errorMessageHeader;An exception has occurred!
errorNoColumnSpecified;The report must have at least one column. Please specify a column in the "Column Order" area. Please correct.
errorNullEntryBeforeColumns;You have specified values behind the highlighted value. Please correct.
groupcolumn; Group Column
maxRows;Maximal Row Count
onLoadExecute;Execute immediatley
onOK;OK
pdfGenWithFilterValues;Show Filter Values
reportTitle;Report Title
rowareaGeneralSettings;General Settings
rowareaPDFSettings;PDF Settings
rowareaVariantSettings;Variant
sortcolumn; Sort Column
successLinesReadFromDB;&1 lines are read from database
title;Edit Report Variant 
titleColumnGroupOrder;Grouping
titleColumnOrder;Column Order
titleColumnSortOrder;Sort Order
titleFilters;Filters
titleGeneralSettings;General
titlePDFProperties;PDF Settings
variantName;Variant Name
warningMoreColumnsExist;There are more than &1 lines matching your selection!
