Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=en DO NOT EDIT BY HAND!;
mfwrkplace.dropicon0;Waste Basket
mfwrkplace.dropicon1;Waste Basket
onCloseAll;Close all Windows
onTakeOut;Take out current page and launch it within Popup Window
stripseltoleft;Scroll left
stripseltoright;Scroll right 
wrkplace.icon0;Close all Windows
wrkplace.titlebar0;Workplace    
wrkplace.titlebar1;Workplace    
wrkplace.titlebar2;Workplace    
wrkplace.titlebar4;Workplace   
closePage;Close Page
mess.err.maxworkplaceactivities;The maximum number of open editors has been reached. Please close one or more editors and try again.
mess.err.title;Message
mess.noswitchback;Switching back is not allowed!
mess.popupClosed;Popup menu was closed without any selection!
mess.selecttree;is not possible. Either select all or no sub items of sub tree 
mess.removeyesno;Do you really want to remove the file?
mfwrkplace.rename;Rename Page...
mfwrkplace.remove;Remove File...
