Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
area.level;Level
area.time;Time
filterD;Level DEBUG (D)
filterE;Level ERROR (E)
filterI;Level INFO (I)
filterNo;Reset Filter
firstRequest;Display First Request
label.directoryname;Directory
label.fileName;File Name
lastRequest;Display Last Request
lblDebugModeFalse;Normal Mode
lblDebugModeTrue;Debug Mode
nextRequest;Display Next Request
previousRequest;Display Previous Request
rowarea.file;Log
rowarea.fileinfo;Info
secondspart1;Limit to the last
secondspart2;seconds.
serverlog.button.clear;Clear Log File
serverlog.button.filter;Apply Filter...
serverlog.button.filterall;None
serverlog.button.filterdebug;Debug Statements Only
serverlog.button.filtererror;Errors Only
serverlog.button.filterinfo;Info Statements Only
serverlog.button.refresh;Reload File Content
servlog.button0;Search
servlog.label0;Log Mode
servlog.label1; 
sl.debug;Debug level (Complete view)
sl.direction;Direction
sl.down;Down (Ctrl+g)
sl.errors;Problems (Levels E and W)
sl.level;Level
sl.lineNo;Line No.
sl.message;Message
sl.request;Request
sl.search;Search
sl.searchFor;Search For
sl.short;Short (Level I only)
sl.timestamp;Timestamp
sl.up;Up (Ctrl-Shift-g)
tab.filter;View
tab.info;File Info
tab.search;Search
title;CIS Runtime Log
