Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
attribComp..button0;Edit Wizard Structure
attribComp..button1;Edit Attributes
attribComp..label0;Compared Resources
attribComp..label1;Source
attribComp..label2;Destination
attribComp..label3;Control Tags
attribComp..label4;Status
attribComp..titlebar0;Compare Attributes
attribComp.button0;Save
attribComp.icon0;Insert Attribute or Create New Range
attribComp.icon1;Remove Selected Nodes
attribComp.label0;Wizard Structure
attribComp.label1;Multilanguage Settings
attribComp.label2;Project
attribComp.label3;Multilanguage File
attribComp.label4;Unassigned Attributes
attribComp.label5;Wizard Configuration
attribComp.label6;Save in File
attribCompEdIn.button0;OK
attribCompEdIn.label0; 
attribCompEdIn.label1;Name
attribCompSav.button0;OK
attribCompSav.button1;OK
attribCompSav.dropicon0;Waste Basket
attribCompSav.dropicon1;Waste Basket
attribCompSav.label0;File Name
attribCompSav.label1; 
attributes;
buttonPreview;
buttonPreviewDummy;
buttonPreviewNewClasses;
buttonPublish;
ce.alreadyex;File already exist.
ce.attributes;Attributes
ce.docu;Documentation
ce.domain;Domain
ce.exit;Exit
ce.file;File
ce.help;Help
ce.inputname;Please input a name
ce.new;New
ce.nounsaved;There are no unsaved changes...
ce.open;Open
ce.pos;Positioning
ce.protocol;Protocol Extension
ce.save;Save
ce.selctrlordata;Please select a control or datatype and try again
ce.sellinefirst;Please select a line first and try again
ce.wrotef;Wrote file &1
ce.xml;XML
ce.xmldefaults;XML Defaults
codeAssAdapterCode;Adapter Code
codeAssBinding;Binding
codeAssGenCode;Generated Code
codeAssGenerateCode;Generate Code
codeAssMethods;Methods
codeAssProperties;Properties
codeAssTakeOver;Take Over
configCodeAssSettings;Code Assistant Settings
configCodeDir;Source Directory
configConfigFile;Configuration File
configDir;Directory
configName;Name
configOneLine;Property Method Within One Line
configPathInfo;Path Info
configPrefix;Use Prefix
configSave;Save And Apply
configSpacesPerTab;Spaces Per Tab
configXMLDir;XML Directory
configXMLDirectorySettings;XML
disablePropNameValidation;Disable validation
dtdPopupTitle;Data Type Definition (DTD)
ec.attributes;Attribute Maintenance
ec.classMembers;Class Members
ec.dynvalidvalues;Dynamic List of Valid Values
ec.general;General
ec.java;Java
ec.javaClassName;Java Classname
ec.validation;Validation of Property and Method Names
ed6.cmi.dtd;DTD
ed6.msg.errorsoccured;Errors occurred during generation. Details via Home->Protocol.
ed6.msg.nonode;No node selected! 
ed6.msg.noprotocol;No protocol available - please first preview screen
ed6.ucannotremove;You can not remove node &1 (root node). Use the Layout Manager to delete the entire XML layout.
editorHTTPTrace.button0;Save and Apply
editorHTTPTrace.label0;Group layouts to packages. Packages separator is 
editorHTTPTrace.label1;(e.g. character &quot\;.&quot\; or &quot\;_&quot\;)
editorHTTPTrace.label2;Group layouts in alphabetical order - 25 layouts per folder
editorHTTPTrace.label3;Do not group - show layouts as flat list
editorviewcoding.column0; 
editorviewcoding.column1; 
editorviewcoding.column2;codeLine
editorviewcoding.column3; 
editorviewcoding.column4; 
editorvml.helpicon0;Translation Hints
editorvml.helpicon1;Translation Hints
errorAttrModelMissing;Code Assistant is not available. Please input attribute MODEL at the root tag first
errorAttrObjectclassMissing;Code Assistant is not available. Please input attribute "objectclass" at tag "cisfo:foppage2" first
