Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
btn.abortnosave;Abort (no save!)
btn.allvariants;All Variants
btn.cancel;Cancel
btn.code;Generate Code
btn.configuration;Configuration
btn.configuration.titletext;Open Configuration
btn.create;Create
btn.donotremove;Do NOT remove
btn.execute;Execute
btn.exit;Exit
btn.generatecode;Generate Code
btn.language;Language
btn.new1;New...
btn.newtextid;New Text ID
btn.ok;OK
btn.open;Open
btn.openccreate;Open / Create
btn.othervariant;Other Variant
btn.refresh;Refresh
btn.refreshview;Refresh View
btn.remove1;Remove...
btn.remove2;Remove!
btn.removeselectedtxtid;Remove Selected Text IDs
btn.removeselfile;Remove Selected Files
btn.save;Save
btn.saveandapply;Save and Apply
btn.savecode;Save Code
btn.savelanguage;Save Language
btn.selectvariant;Selected Variant
btn.set;Set
btn.shiftleft;- Tab
btn.shiftright;+ Tab
btn.takeover;Take Over
btn.update;Update
ce.newControl;New Control
ce.newDataType;New Data Type
ce.newFile;New File
ce.openFile;Open File
cg4.btn.removeline;Remove Line
cg4.btn.takeover;Take over generated Code
cg4.label.classcode;Class Code
cg4.label.innerclass;Inner Class
cg4.label.mainadpclass;Main Adapter Class
cg4.rowarea.generatecode;Generated Code
cg4.rowarea.prop;Properties
cg4.rowtab.class;Class
cg4.rowtab.prop;Property
cg4.titlebar.codegenerator;Code Generator
cg4.txtgridsss.clm.code;Code
codegen.button0;Save Code
codegen.button1;Refresh
codegen.button2;Generate Code
codegen.button3;Generate Code
codegen.button4;Generate Code
codegen.button5;Take over generated Code
codegen.button6;Remove Line
codegen.button7;+ Tab
codegen.button8;- Tab
codegen.column0;Status
codegen.column1;Name
codegen.column2;Code
codegen.column3;Code
codegen.label0;Name
codegen.label1;Property
codegen.label10;Inner Class
codegen.label2;Type
codegen.label3;set method
codegen.label4;get method
codegen.label5;Prefix
codegen.label6;Server side scrolling
codegen.label7;Package
codegen.label8;Class
codegen.label9;Main Adapter Class
codegen.rowarea0;Properties
codegen.rowarea1;Class Code
codegen.rowarea2;Generated Code
codegen.rowtabarea0;Property
codegen.rowtabarea1;Class
codegen.titlebar0;Code Generator
documentation.button0;Publish Selected
documentation.titlebar0;Control Documentation
documentationMaintain.button0;editButtonText
documentationMaintain.titlebar0;Control Documentation
exnf.rowarea.filename;File Name
exnt.rowarea.name;Name
label.abbreviation;Abbreviation
label.alt;Alt
label.attribute;Attribute
label.class;Class
