Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
areaDecimalSeparator;小数点記号
btn_exit;終了
dateAndTime;日付と時刻
dateDisplay;日付の形式
internationalisationTab;インターナショナライゼーション
labelSeparator;セパレータ
labelStyleSheet;スタイルシート
language;言語
lbl_explanation;アプリケーションによりエラーが送出されましたが、アプリケーション内部で正しく捕捉できませんでした。 以下のエラー情報を収集し、富士通技術員に連絡してください。
logon;ログイン
logonTab;ユーザー
logonTitle;ユーザログインおよびインターナショナライゼーション
password;パスワード
ra_errorinfo;エラーの詳細
ra_explanation;バックグラウンド
setAmericanStyle;アメリカ式
setNonAmericanStyle;非アメリカ式
styleSheet;スタイルシート
timeDisplay;時刻の形式
title;アプリケーションのエラー
user;ユーザー
wrkplacelogon.combooption0;左から右へ
wrkplacelogon.combooption1;右から左へ
wrkplacelogon.label0;方向
wrkplacelogon.label1;1.000.000,00
wrkplacelogon.label2;1,000,000.00
closePage;ページを閉じる
