Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
MsgNavigationNotAllowed;最初に、現在のページでのデータ入力を終了してください。
areaDecimalSeparator;小数点記号
dateAndTime;日付と時刻
dateDisplay;日付の形式
internationalisationTab;インターナショナライゼーション
labelSeparator;セパレータ
labelStyleSheet;スタイルシート
language;言語
logon;ログイン
logonTab;ユーザー
logonTitle;ユーザログインおよびインターナショナライゼーション
password;パスワード
setAmericanStyle;アメリカ式
setNonAmericanStyle;非アメリカ式
styleSheet;スタイルシート
timeDisplay;時刻の形式
user;ユーザー
