Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
columnTextNotSetError;列&1にテキストが定義されていません。このため、レポートバリアントを使用できません。 
columnTextNotUniqueError;列&1および列&2には、同じテキスト(&3)があります。 レポートバリアントを使用するには、列のテキストは一意である必要があります。
connectionError;データベース例外が発生しました。 &1
csvDownload;ダウンロード
csvDownloadHyperlinkText;ここをクリックすると、上記の出力がzipファイルとしてダウンロードされます。
errorColumnNotExist;バリアント"&1"には、古い列情報(&2)が含まれています。 バリアントは使用できなくなっているため、削除する必要があります。
errorFilterNotExist;バリアント"&1"には、古いフィルタ情報(&2)が含まれています。 バリアントは使用できなくなっているため、削除する必要があります。
invalidFilterValue;入力&3は無効です。 修正してください。 
pdfFilterName;フィルタ名
pdfFilterValue;値
pdfResultSetEmpty;クエリに一致するデータが見つかりません。
scrollstatus_line;行
successLinesReadFromDB;データベースから&1行が読み取られます
titleCSVOutput;CSV出力
titlePDFOutput;PDF出力
titlePrintVersionOutput;印刷ページ
variantNotFound;バリアント&1がまだ定義されていません。
warningMoreColumnsExist;&1を超える行が選択と一致します。
searchvariant;検索記号 
scrollstatus_of;/
scrollstatus_to;-
