Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
areaAttributes;Attributes
areaNodes;Nodes
areaPreview;Preview
areaSubnodes;Subnodes
attributes;
buttonAddFirst;Add as First
buttonAddLast;Add as Last
buttonExit;Exit
buttonNew;New...
buttonNewApp;Newest Classes
buttonOpen;Open...
buttonPreview;
buttonPreviewDummy;
buttonPreviewNewClasses;
buttonPublish;
buttonSave;Save
buttonSaveAs;Save As...
buttonViewLog;Log
buttonViewXML;XML
ce.icon.label.newctrl;New Control
ce.icon.label.newdatat;New Datatype
ce.icon.label.selline;Remove Selected Lines
ce.icon.title.newEdExtension;New Editor Extension
ce.icon.title.openfile;Open File
ce.icon.title.save;Save
ce.label.xmltags;XML Tags
ce.titlebar.title;Control Editor
ed6.RadioBttn.PreviewModeHTML;HTML
ed6.RadioBttn.PreviewModeSWT;SWT
ed6.RadioBttn.withDummyAdapter;Dummy Adapter
ed6.RadioBttn.withRealAdapter;Application
ed6.icon.movedownlast;Move node down to last position
ed6.icon.movenodedown;Move node down
ed6.icon.movenodedownlast;Move node down to last position
ed6.icon.movenodefirst;Move node up to first position
ed6.icon.movenodeup;Move node up
ed6.icon.openwiz;Open Wizard for selected control
ed6.icon.pasteasfirst;Paste as First subnode
ed6.icon.pasteaslast;Paste as Last subnode
ed6.icon.swtConfig;Preview Config
ed6.label.ctrls;Controls
ed6.label.layout;Layout
ed6.label.swtPreviewAdapter;Preview with
ed6.label.swtPreviewMode;Preview mode
ed6.rowarea.SWTConfig;Preview Configuration
ed6.titlebar; 
editor.icon0;Save (ctrl-shift-S)
editor.icon1;Move node up to first position
editor.icon10;Add behind
editor.icon11;Add as Last Subnode
editor.icon12;Save (ctrl-shift-S)
editor.icon13;Move node up to first position
editor.icon14;Move node up
editor.icon15;Move node down
editor.icon16;Move node down to last position
editor.icon17;Paste as First subnode
editor.icon18;Paste as Last subnode
editor.icon19;Start Wizard
editor.icon2;Move node up
editor.icon20;Add before
editor.icon21;Add as First Subnode
editor.icon22;Add behind
editor.icon23;Add as Last Subnode
editor.icon24;Undo
editor.icon25;Redo
editor.icon26;Move node up
editor.icon27;Move node down
editor.icon28;Remove node
editor.icon29;Cut
editor.icon3;Move node down
editor.icon30;Copy
editor.icon31;Paste
editor.icon4;Move node down to last position
editor.icon5;Paste as First subnode
editor.icon6;Paste as Last subnode
editor.icon7;Start Wizard
editor.icon8;Add before
editor.icon9;Add as First Subnode
editor.label0;Layout
editor.label1;Layout
editor.label2;WSDL
editor.label3;SWT/HTML
editor.label4;Adapter/Dummy
editor.label5;Extensions
editor.menuitem0;Protocol
editor.menuitem1;Editor in 1024*768 Popup
editorHTTPTrace.button0;Save and Apply
editorHTTPTrace.fileupload0;Upload trace file
editorHTTPTrace.label0;Group layouts to packages. Packages separator is 
editorHTTPTrace.rowarea0;Load Trace
editorHTTPTrace.rowarea1;Analysis
editorHTTPTrace.titlebar0;Http Trace Analyzer
editorHotKey.button0;Add New Line
editorHotKey.button1;Remove Selected Lines
editorHotKey.button2;Take Over
editorHotKey.gridcolheader0; 
editorHotKey.gridcolheader1;Keycode/Text ID
editorHotKey.gridcolheader2;Ctrl Key
editorHotKey.gridcolheader3;Shift Key
editorHotKey.gridcolheader4;Alt Key
editorHotKey.gridcolheader5;Method
exttagext.rowarea.javascript;JavaScript Libraries
exttagext.rowarea.methods;Methods
exttagext.rowarea.properties;Properties
exttagpos.rowarea.embeddingcont;Embedding Containers
headlineTag;Tag
headlineTagName;Tag name
icon.help.showhelp;
icon.label.add;Add
icon.label.hidehelp;Hide Help
icon.label.movedown;Move down
icon.label.movedownlast;Move down to last position
icon.label.moveup;Move up
icon.label.moveupfirst;Move up to first position
icon.label.remove;Remove
icon.label.showhelp;Show Help
icon.save;Save (ctrl-shift-S)
iconTitleCopy;
iconTitleRemove;
icontTitleCut;
label.Id;Id
label.closingxml;Closing XML 
label.control;Control Name (e.g. icon)
label.controlname;Control Name (e.g. itr, tr)
label.datatype;Data Type
label.defvalue;Default Value
label.descr;Description
label.douwantto;Do you want to create a container?
label.ismandatory;Is Mandatory
label.methodname;Method Name
label.name;Name
label.no;no
label.presetvalue;Preset Value
label.showcodeass;Show in Code Assistant
label.source;Source (e.g. &quot\;../yourproject/javascript/lib.js&quot\;) 
label.xmlopeneditor;XML (Open editor_report.xml for an example)
label.xmlshorttag;XML For Start Tag
label.yesthectrl;yes - the control should be able to embed sub controls
labelAttribute;Attribute
labelValue;Value
menubuttonView;View...
preview;
wizardBttn;Wizard
wizardPopupTitle;Control Wizard
attribComp..button0; Edit Wizard Structure
attribComp..button1;Edit Attributes
attribComp..label0;Compared Resources
attribComp..label1;Source
attribComp..label2;Destination
attribComp..label3;Control Tags
attribComp..label4;Status
attribComp..titlebar0;Compare Attributes
attribComp.button0;Save
attribComp.icon0;Insert Attribute or Create New Range
attribComp.icon1;Remove Selected Nodes
attribComp.label0;Wizard Structure
attribComp.label1;Multilanguage Settings
attribComp.label2;Project
attribComp.label3;Multilanguage File
attribComp.label4;Unassigned Attributes
attribComp.label5;Wizard Configuration
