Auto-generated text file from Localization Framework 7.7.9.36 Version=trunk Locale=ja DO NOT EDIT BY HAND!;
_attr_backgroundcolor;This attribute sets the background color of an element, either a &lt\;color&gt\; value or the keyword "transparent", to make the underlying colors shine through.
_attr_borderbottomcolor;Color for the border on the bottom. Values are any valid color specification.
_attr_borderbottomstyle;This attribute specifies the line style of a box's bottom border. Valid values are 'solid', 'double' or 'dashed'.
_attr_borderbottomwidth;The border width attribute specifies the width of the bottom border. Valid values are "thin", "medium", "thick" or a concrete size (e.g. "2pt").
_attr_bordercolor;Color for all borders (bottom, top, left, right). Values are any valid color specification.
_attr_borderleftcolor;Color for the border on the left side. Values are any valid color specification.
_attr_borderleftstyle;This attribute specifies the line style of a box's left border. Some valid values are "solid", "double" or "dashed".
_attr_borderleftwidth;The border width attribute specifies the width of the left border. Some valid values are "thin", "medium", "thick" or a concrete size (e.g. "2pt").
_attr_borderrightcolor;Color for the border on the right side. Values are any valid color specification.
_attr_borderrightstyle;This attribute specifies the line style of a box's right border. Some valid values are "solid", "double" or "dashed".
_attr_borderrightwidth;The border width attribute specifies the width of the right border. Some valid values are "thin", "medium", "thick" or a concrete size (e.g. "2pt").
_attr_borderstyle;This attribute specifies the line style of all box's border. Some valid values are "solid", "double" or "dashed".
_attr_bordertopcolor;Color for the border on the top. Values are any valid color specification.
_attr_bordertopstyle;This attribute specifies the line style of a box's top border. Some valid values are "solid", "double" or "dashed".
_attr_bordertopwidth;The border width attribute specifies the width of the top border. Some valid values are "thin", "medium", "thick" or a concrete size (e.g. "2pt").
_attr_borderwidth;The border width attribute specifies the width of all borders. Some valid values are "thin", "medium", "thick" or a concrete size (e.g. "2pt").
_attr_color;Color in which the element is output.
_attr_columnsspanned;A positive integer, specifying the number of columns spanned.
_attr_columnwidths;Semicolon separated list of widths of contained columns.<br><br>Example: "1cm\; 3cm\; 4cm".<br><br>Column definitions are defined as part of the table definition - all contained column controls you add later on as content of the table are sized according to this definition.
_attr_datatype;Data type of the output. Some valid values are "date, float, int, time, timestamp".<br><br>Dependent from the data type the text may be converted before being rendered.<br><br> Example: If specifying "date" then the output will be transferred from "YYYYMMDD" into a date display dependent format, e.g. "DD.MM.YYYY" or "MM/DD/YYYY".
_attr_decimaldigitsprop;Adapter property that passes back information how many decimal digits are to be displayed. Only used with the datat type "float".
_attr_fontfamily;This attribute specifies a priorized list of font family names and/or generic family names. To deal with the problem that a single font may not contain glyphs to display all the characters in a document, or that not all fonts are available on all systems, this property allows authors to specify a list of fonts, all of the same style and size, that are tried in sequence to see if they contain a glyph for a certain character. This list is called a "font set".
_attr_fontsize;This attribute describes the size of the font when set as "solid". The font size corresponds to the em square, a concept used in typography. Note that certain glyphs may bleed outside their em squares. Some valid values are "xxsmall", "medium", "smaller" or a concrete size, e.g. "110%".
